Region,FOUR WHEELER (INVALID CARRIAGE),HEAVY GOODS VEHICLE,HEAVY MOTOR VEHICLE,HEAVY PASSENGER VEHICLE,LIGHT GOODS VEHICLE,LIGHT MOTOR VEHICLE,LIGHT PASSENGER VEHICLE,MEDIUM GOODS VEHICLE,MEDIUM MOTOR VEHICLE,MEDIUM PASSENGER VEHICLE,OTHER THAN MENTIONED ABOVE,THREE WHEELER(NT),THREE WHEELER(T),TWO WHEELER (INVALID CARRIAGE),TWO WHEELER(NT),TWO WHEELER(T),Total
Andaman & Nicobar Island,0,0,0,40,0,88,10,0,0,0,0,0,30,0,3,15,186
Andhra Pradesh,0,107,0,9,740,"2,663",24,1,5,0,"1,873","1,115",491,2,"58,674",1,65705
Arunachal Pradesh,0,0,0,0,0,9,1,0,0,0,0,0,0,0,16,0,26
Assam,0,1,0,15,408,338,28,0,0,0,1,0,"1,09,993",0,"3,716",0,114500
Bihar,1,7,0,27,195,482,11,1,0,0,0,2,"1,30,890",0,"20,748",0,152364
Chhattisgarh,0,8,0,0,"1,081","1,065",63,1,0,1,374,131,"15,326",0,"33,469",0,51519
Chandigarh,0,0,0,73,2,894,7,0,0,7,1,0,"4,092",0,"2,354",0,7430
UT of DNH and DD,0,2,0,24,4,43,2,0,0,0,4,0,65,0,194,0,338
Delhi ,4,0,0,711,203,"8,949","5,612",0,0,2,0,0,"1,45,002",2,"66,848",0,227333
Goa,0,1,0,79,33,"1,342",4,0,0,1,2,6,81,0,"10,298",1,11848
Gujarat,17,240,0,452,189,"7,094",124,10,3,60,161,32,"4,455",8,"1,17,808",1,130654
Himachal Pradesh,0,6,0,93,11,160,57,1,0,2,1,2,197,0,"1,797",0,2327
Haryana,1,9,0,6,134,"1,784",961,0,1,2,12,0,"40,520",0,"23,212",53,66695
Jharkhand,0,56,0,2,70,430,178,2,0,1,0,0,"20,436",0,"13,459",0,34634
Jammu and Kashmir,0,2,0,40,4,125,9,0,0,2,1,0,"5,146",0,"4,566",0,9895
Karnataka,3,10,1,539,190,"13,761","3,413",6,0,0,4,41,"10,293",17,"1,97,144","9,977",235399
Kerala,5,4,0,60,59,"10,634",110,0,1,1,2,83,"6,108",36,"75,059",51,92213
Ladakh,0,0,0,10,0,10,0,0,0,0,0,0,1,0,43,0,64
Maharashtra,3,5,2,"1,071",200,"22,256","2,085",0,5,294,8,37,"17,568",6,"2,47,293",5,290838
Meghalaya,0,0,0,0,5,27,0,1,0,0,0,11,11,0,55,0,110
Manipur,0,0,0,1,0,16,1,1,0,0,0,0,913,0,257,0,1189
Madhya Pradesh,0,4,0,30,7,"1,481",54,0,0,40,"5,050","24,946","9,769",0,"48,556",0,89937
Mizoram,0,2,0,0,0,3,4,0,0,0,2,0,1,0,101,0,113
Nagaland,0,2,0,0,0,7,1,0,0,0,0,0,0,0,50,0,60
Odhisha,0,16,1,52,159,946,77,1,0,1,2,2,"5,808",1,"51,662",11,58739
Punjab,0,13,0,1,91,342,28,2,0,1,64,1,"15,221",0,"17,568",0,33332
Puducherry,0,1,0,1,11,123,42,0,0,0,0,6,87,0,"4,056",0,4327
Rajasthan,2,43,0,11,27,"4,099",98,0,0,0,1,0,"63,287",18,"1,04,679",88,172353
Sikkim,0,0,0,0,0,10,9,0,0,0,0,0,0,0,1,0,20
Tamil Nadu,0,35,168,10,"2,232","8,418",293,13,25,2,65,58,"9,508",2,"1,43,569",0,164398
Tripura,0,0,0,0,8,23,6,0,0,0,0,0,"13,692",0,402,0,14131
Uttarakhand,0,0,0,34,1,719,43,0,0,1,0,0,"35,911",0,"11,069",7,47785
Uttar Pradesh,0,1,2,708,109,"2,292",75,0,1,51,1,1,"4,86,733",1,"57,697",20,547692
West Bengal,2,15,0,73,"2,511","2,377",622,7,0,49,18,0,"45,103",0,"15,997",0,66774
